Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
15203,Tinakula,Confirmed,Observations,Reported,1.0,1989,8.0,16.0,1990.0,2.0,16.0
19365,Bezymianny,Confirmed,Observations,Reported,2.0,1989,8.0,1.0,1989.0,8.0,4.0
18341,Sumisujima,Uncertain,Uncertain,Unspecified,0.0,1989,7.0,18.0,1989.0,7.0,18.0
18385,Kita-Ioto,Uncertain,Uncertain,Unspecified,0.0,1989,7.0,16.0,1989.0,7.0,16.0
16534,Karangetang,Confirmed,Observations,Reported,1.0,1989,7.0,16.0,1989.0,7.0,16.0
17379,Izu-Tobu,Confirmed,Observations,Reported,1.0,1989,7.0,13.0,1989.0,7.0,13.0
14658,Ruapehu,Confirmed,Observations,Reported,1.0,1989,7.0,1.0,1989.0,9.0,20.0
14133,Cameroon,Confirmed,Observations,Reported,1.0,1989,5.0,29.0,1989.0,5.0,29.0
18754,Etorofu-Yakeyama [Grozny Group],Confirmed,Observations,Reported,2.0,1989,5.0,3.0,1989.0,8.0,5.0
14075,Nyamulagira,Confirmed,Observations,Reported,3.0,1989,4.0,24.0,1989.0,8.0,15.0
15288,Ambrym,Confirmed,Observations,Reported,2.0,1989,4.0,24.0,1989.0,12.0,23.0
16431,Soputan,Confirmed,Observations,Reported,2.0,1989,4.0,22.0,1989.0,4.0,23.0
17549,Niigata-Yakeyama,Confirmed,Observations,Reported,1.0,1989,4.0,19.0,1989.0,4.0,26.0
19567,Sheveluch,Confirmed,Observations,Reported,2.0,1989,4.0,7.0,1989.0,6.0,26.0
17345,Asosan,Confirmed,Observations,Reported,2.0,1989,4.0,5.0,1991.0,2.0,9.0
20033,Akutan,Confirmed,Observations,Reported,2.0,1989,2.0,27.0,1989.0,3.0,28.0
11031,Masaya,Confirmed,Observations,Reported,1.0,1989,2.0,20.0,1989.0,11.0,16.0
11372,Galeras,Confirmed,Observations,Reported,2.0,1989,2.0,19.0,1989.0,5.0,9.0
18875,Ebeko,Confirmed,Observations,Reported,2.0,1989,2.0,2.0,1990.0,4.0,15.0
22332,Saunders,Confirmed,Observations,Reported,0.0,1989,1.0,30.0,1990.0,3.0,22.0
18340,Sumisujima,Uncertain,Uncertain,Unspecified,0.0,1989,1.0,18.0,1989.0,1.0,18.0
18818,Sarychev Peak,Confirmed,Observations,Reported,1.0,1989,1.0,13.0,1989.0,1.0,14.0
17845,Kusatsu-Shiranesan,Uncertain,Uncertain,Unspecified,1.0,1989,1.0,6.0,1989.0,1.0,6.0
